12/9/2017 4:54:10 PM : Starting Network Model Service...
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000100000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000100000007).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000100000008).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000100000009).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000300000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000900000002).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000a).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000b).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000c).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000d).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000004).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000300000004).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000004).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000007).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000008).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000900000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000e).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000007).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000008).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000009).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000a).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000b).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000300000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000007).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000001).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000002).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000001).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000002).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000003).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000009).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000a).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000b).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000c).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000d).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000e).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000000f).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000010).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000011).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000012).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000013).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000014).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000015).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000016).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000017).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000018).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000010000000f).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000c).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000d).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000e).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000020000000f).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000010).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000011).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000200000012).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000300000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000008).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000400000009).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000040000000a).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000004).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000500000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000004).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000005).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000600000006).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000019).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001a).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001b).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001c).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001d).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001e).
12/10/2017 12:42:35 PM : Inserting entity with GID (000000070000001f).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000020).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000021).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000022).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000023).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000024).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000025).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000026).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000027).
12/10/2017 12:42:35 PM : Inserting entity with GID (0000000700000028).
12/10/2017 12:42:38 PM : The WCF service GenericDataAccess is ready.
12/10/2017 12:42:39 PM : Endpoints:
12/10/2017 12:42:39 PM : net.tcp://localhost:10000/NetworkModelService/GDA/
12/10/2017 12:42:39 PM : Connection string: ../NetworkModelData.data
12/10/2017 12:42:39 PM : Trace level: Info
12/10/2017 12:42:39 PM : The Network Model Service is started.
12/10/2017 12:42:39 PM : Press <Enter> to stop the service.
12/10/2017 12:43:13 PM : Applying  delta to network model.
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000100000010).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000013).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000014).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000015).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000016).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000017).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000018).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000200000019).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000300000007).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000040000000b).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000040000000c).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000040000000d).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000500000007).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000500000008).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000500000009).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000600000007).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000600000008).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000600000009).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000029).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002a).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002b).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002c).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002d).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002e).
12/10/2017 12:43:13 PM : Inserting entity with GID (000000070000002f).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000030).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000031).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000032).
12/10/2017 12:43:13 PM : Inserting entity with GID (0000000700000033).
